Date,Open,High,Low,Close,Volume,Symbol,Source
2025-06-20 00:00:00-04:00,42291.08984375,42432.19140625,42089.98828125,42206.8203125,859840000,^DJI,yfinance
2025-06-23 00:00:00-04:00,42178.55078125,42609.46875,41981.140625,42581.78125,496750000,^DJI,yfinance
2025-06-24 00:00:00-04:00,42807.12890625,43183.48046875,42794.078125,43089.01953125,516060000,^DJI,yfinance
2025-06-25 00:00:00-04:00,43130.328125,43130.328125,42871.5,42982.4296875,527460000,^DJI,yfinance
2025-06-26 00:00:00-04:00,43084.0703125,43430.98828125,43084.0703125,43386.83984375,536710000,^DJI,yfinance
2025-06-27 00:00:00-04:00,43505.6015625,43966.37109375,43505.6015625,43819.26953125,921330000,^DJI,yfinance
2025-06-30 00:00:00-04:00,44020.66015625,44138.69140625,43889.16015625,44094.76953125,623630000,^DJI,yfinance
2025-07-01 00:00:00-04:00,44061.48828125,44604.1484375,44013.5390625,44494.94140625,593600000,^DJI,yfinance
2025-07-02 00:00:00-04:00,44455.66015625,44557.8203125,44354.01171875,44484.421875,499870000,^DJI,yfinance
2025-07-03 00:00:00-04:00,44565.75,44885.828125,44550.421875,44828.53125,346620000,^DJI,yfinance
2025-07-07 00:00:00-04:00,44803.359375,44803.359375,44160.3203125,44406.359375,442350000,^DJI,yfinance
2025-07-08 00:00:00-04:00,44378.578125,44436.9609375,44201.37109375,44240.76171875,445670000,^DJI,yfinance
2025-07-09 00:00:00-04:00,44327.12890625,44556.6796875,44225.87890625,44458.30078125,531790000,^DJI,yfinance
2025-07-10 00:00:00-04:00,44427.75,44775.46875,44372.921875,44650.640625,452340000,^DJI,yfinance
2025-07-11 00:00:00-04:00,44480.76953125,44480.76953125,44275.25,44371.51171875,474090000,^DJI,yfinance
2025-07-14 00:00:00-04:00,44346.1484375,44472.12890625,44237.28125,44459.6484375,410250000,^DJI,yfinance
